Object Number,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
67.187.123,TRUE,TRUE,10464,,The American Wing,1967,Painting,At the Seaside,American,,,,,16176,Artist, ,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York", ,"Chase, William Merritt",American,1849,1916,,http://vocab.getty.edu/page/ulan/500115356,https://www.wikidata.org/wiki/Q265820,ca. 1892,1889,1892,Oil on canvas,"20 × 34 in. (50.8 × 86.4 cm)
","Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10464,https://www.wikidata.org/wiki/Q19924646,,"Metropolitan Museum of Art, New York, NY",Summer|Beaches|Seascapes,http://vocab.getty.edu/page/aat/300133099|http://vocab.getty.edu/page/aat/300008816|http://vocab.getty.edu/page/aat/300117546,https://www.wikidata.org/wiki/Q1313|https://www.wikidata.org/wiki/Q40080|https://www.wikidata.org/wiki/Q158607
6.969,TRUE,TRUE,10465,,The American Wing,1906,Painting,Carmencita,American,,,,,16176,Artist, ,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York", ,"Chase, William Merritt",American,1849,1916,,http://vocab.getty.edu/page/ulan/500115356,https://www.wikidata.org/wiki/Q265820,1890,1890,1890,Oil on canvas,69 7/8 x 40 7/8 in. ( 177.5 x 103.8 cm),"Gift of Sir William Van Horne, 1906",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10465,https://www.wikidata.org/wiki/Q19924685,,"Metropolitan Museum of Art, New York, NY",Dancers|Women|Dancing|Flowers,http://vocab.getty.edu/page/aat/300025653|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300389779|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5716684|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q43393537|https://www.wikidata.org/wiki/Q506
18.22.2,TRUE,TRUE,10469,771,The American Wing,1918,Painting,James Abbott McNeill Whistler,American,,,,,16176,Artist, ,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York", ,"Chase, William Merritt",American,1849,1916,,http://vocab.getty.edu/page/ulan/500115356,https://www.wikidata.org/wiki/Q265820,1885,1885,1885,Oil on canvas,74 1/8 x 36 1/4 in. (188.3 x 92.1 cm),"Bequest of William H. Walker, 1918",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10469,https://www.wikidata.org/wiki/Q20170982,,"Metropolitan Museum of Art, New York, NY",Portraits|Men,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q8441
9.95,TRUE,TRUE,10481,760,The American Wing,1909,Painting,Heart of the Andes,American,,,,,16177,Artist, ,Frederic Edwin Church,"American, Hartford, Connecticut 1826–1900 New York", ,"Church, Frederic Edwin",American,1826,1900,,http://vocab.getty.edu/page/ulan/500115265,https://www.wikidata.org/wiki/Q366212,1859,1859,1859,Oil on canvas,"66 1/8 x 120 3/16 in. (168 x 302.9cm)
","Bequest of Margaret E. Dows, 1909",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10481,https://www.wikidata.org/wiki/Q334604,,"Metropolitan Museum of Art, New York, NY",Rivers|Waterfalls|Forests|Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008707|http://vocab.getty.edu/page/aat/300008736|http://vocab.getty.edu/page/aat/300387598|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q4022|https://www.wikidata.org/wiki/Q34038|https://www.wikidata.org/wiki/Q4421|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
15.30.67,TRUE,TRUE,10482,760,The American Wing,1915,Painting,The Parthenon,American,,,,,16177,Artist, ,Frederic Edwin Church,"American, Hartford, Connecticut 1826–1900 New York", ,"Church, Frederic Edwin",American,1826,1900,,http://vocab.getty.edu/page/ulan/500115265,https://www.wikidata.org/wiki/Q366212,1871,1871,1871,Oil on canvas,44 1/2 x 72 5/8 in. (113 x 184.5 cm),"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10482,https://www.wikidata.org/wiki/Q19923916,,"Metropolitan Museum of Art, New York, NY",Ruins,http://vocab.getty.edu/page/aat/300008057,https://www.wikidata.org/wiki/Q109607
8.228,TRUE,TRUE,10497,759,The American Wing,1908,Painting,"View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm—The Oxbow",American,,,,,16178,Artist, ,Thomas Cole,"American, Lancashire 1801–1848 Catskill, New York", ,"Cole, Thomas",American,1801,1848,,http://vocab.getty.edu/page/ulan/500028323,https://www.wikidata.org/wiki/Q334001,1836,1836,1836,Oil on canvas,51 1/2 x 76 in. (130.8 x 193 cm),"Gift of Mrs. Russell Sage, 1908",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10497,https://www.wikidata.org/wiki/Q3172259,,"Metropolitan Museum of Art, New York, NY",Rivers|Mountains|Landscapes|Pastoral|Storms,http://vocab.getty.edu/page/aat/300008707|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300250491|http://vocab.getty.edu/page/aat/300054734,https://www.wikidata.org/wiki/Q4022|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q390001|https://www.wikidata.org/wiki/Q81054
04.29.2,TRUE,TRUE,10499,759,The American Wing,1904,Painting,The Titan's Goblet,American,,,,,16178,Artist, ,Thomas Cole,"American, Lancashire 1801–1848 Catskill, New York", ,"Cole, Thomas",American,1801,1848,,http://vocab.getty.edu/page/ulan/500028323,https://www.wikidata.org/wiki/Q334001,1833,1833,1833,Oil on canvas,19 3/8 x 16 1/8 in. (49.2 x 41 cm),"Gift of Samuel P. Avery Jr., 1904",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10499,https://www.wikidata.org/wiki/Q7769468,,"Metropolitan Museum of Art, New York, NY",Fountains|Sun|Hills|Landscapes,http://vocab.getty.edu/page/aat/300006179|http://vocab.getty.edu/page/aat/300379806|http://vocab.getty.edu/page/aat/300008777|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q483453|https://www.wikidata.org/wiki/Q525|https://www.wikidata.org/wiki/Q54050|https://www.wikidata.org/wiki/Q191163
95.13.3,TRUE,TRUE,10501,759,The American Wing,1895,Painting,View on the Catskill—Early Autumn,American,,,,,16178,Artist, ,Thomas Cole,"American, Lancashire 1801–1848 Catskill, New York", ,"Cole, Thomas",American,1801,1848,,http://vocab.getty.edu/page/ulan/500028323,https://www.wikidata.org/wiki/Q334001,1836–37,1836,1837,Oil on canvas,39 x 63 in. (99.1 x 160cm),"Gift in memory of Jonathan Sturges by his children, 1895",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10501,https://www.wikidata.org/wiki/Q19900514,,"Metropolitan Museum of Art, New York, NY",Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
49.12,TRUE,TRUE,10522,748,The American Wing,1949,Painting,Daniel Crommelin Verplanck,American,,,,,16178,Artist, ,John Singleton Copley,"American, Boston, Massachusetts 1738–1815 London", ,"Copley, John Singleton",American,1738,1815,,http://vocab.getty.edu/page/ulan/500009177,https://www.wikidata.org/wiki/Q316016,1771,1771,1771,Oil on canvas,49 1/2 x 40 in. (125.7 x 101.6 cm),"Gift of Bayard Verplanck, 1949",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10522,https://www.wikidata.org/wiki/Q20171001,,"Metropolitan Museum of Art, New York, NY",Boys|Portraits|Squirrels,http://vocab.getty.edu/page/aat/300247598|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300250601,https://www.wikidata.org/wiki/Q3010|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q1302028
43.86.4,TRUE,TRUE,10527,748,The American Wing,1943,Painting,Midshipman Augustus Brine,American,,,,,16178,Artist, ,John Singleton Copley,"American, Boston, Massachusetts 1738–1815 London", ,"Copley, John Singleton",American,1738,1815,,http://vocab.getty.edu/page/ulan/500009177,https://www.wikidata.org/wiki/Q316016,1782,1782,1782,Oil on canvas,50 x 40 in. (127 x 101.6 cm),"Bequest of Richard De Wolfe Brixey, 1943",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10527,https://www.wikidata.org/wiki/Q19925019,,"Metropolitan Museum of Art, New York, NY",Boys|Portraits,http://vocab.getty.edu/page/aat/300247598|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q3010|https://www.wikidata.org/wiki/Q134307
40.161.1b,FALSE,TRUE,10528,,The American Wing,1940,Drawing,Ebenezer Storer,American,,,,,16178,Artist, ,John Singleton Copley,"American, Boston, Massachusetts 1738–1815 London", ,"Copley, John Singleton",American,1738,1815,,http://vocab.getty.edu/page/ulan/500009177,https://www.wikidata.org/wiki/Q316016,ca. 1767–69,1767,1769,Pastel on laid paper mounted on canvas,24 x 18 in. (61 x 45.7 cm),"Gift of Thomas J. Watson, 1940",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10528,https://www.wikidata.org/wiki/Q104412984,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
31.109,TRUE,TRUE,10531,748,The American Wing,1931,Painting,Mrs. John Winthrop,American,,,,,16178,Artist, ,John Singleton Copley,"American, Boston, Massachusetts 1738–1815 London", ,"Copley, John Singleton",American,1738,1815,,http://vocab.getty.edu/page/ulan/500009177,https://www.wikidata.org/wiki/Q316016,1773,1773,1773,Oil on canvas,35 1/2 x 28 3/4 in. (90.2 x 73 cm),"Morris K. Jesup Fund, 1931",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10531,https://www.wikidata.org/wiki/Q19930589,,"Metropolitan Museum of Art, New York, NY",Portraits|Women,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467
42.71.1,FALSE,TRUE,10554,753,The American Wing,1942,Painting,Watson and the Shark,American,,,,,16178,Artist, ,John Singleton Copley,"American, Boston, Massachusetts 1738–1815 London", ,"Copley, John Singleton",American,1738,1815,,http://vocab.getty.edu/page/ulan/500009177,https://www.wikidata.org/wiki/Q316016,ca. 1778,1775,1778,Oil on canvas,24 7/8 x 30 1/8 in. (63.2 x 76.5 cm),"Gift of Mrs. Gordon Dexter, 1942",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10554,https://www.wikidata.org/wiki/Q20175917,,"Metropolitan Museum of Art, New York, NY",Fear|Men|Male Nudes|Fish|Boats,http://vocab.getty.edu/page/aat/300055160|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300266085|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q44619|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q152|https://www.wikidata.org/wiki/Q35872
8.13,FALSE,TRUE,10557,764,The American Wing,1908,Painting,Augustus Saint-Gaudens,American,,,,,16179,Artist, ,Kenyon Cox,"American, Warren, Ohio 1856–1919 New York", ,"Cox, Kenyon",American,1856,1919,,http://vocab.getty.edu/page/ulan/500015454,https://www.wikidata.org/wiki/Q933739,"1887, replica 1908",1887,1908,Oil on canvas,33 1/2 x 47 1/8 in. (85.1 x 119.7 cm),"Gift of friends of the artist, through August F. Jaccaci, 1908",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10557,https://www.wikidata.org/wiki/Q19925480,,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Artists,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025103,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q483501
68.4,FALSE,FALSE,10571,,The American Wing,1968,Watercolor,Snow Scene,American,,,,,16350,Artist, ,Bruce Crane,"American, New York 1857–1937 Bronxville, New York", ,"Crane, Bruce",American,1857,1937,,http://vocab.getty.edu/page/ulan/500017443,https://www.wikidata.org/wiki/Q4977314,,1857,1937,Watercolor and gouache on blue-gray wove paper,10 7/8 x 18 11/16 in. (27.6 x 47.5 cm),"George A. Hearn Fund, 1968",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10571,https://www.wikidata.org/wiki/Q20179547,,"Metropolitan Museum of Art, New York, NY",Snow|Landscapes,http://vocab.getty.edu/page/aat/300055381|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q7561|https://www.wikidata.org/wiki/Q191163
97.13.1,TRUE,TRUE,10574,758,The American Wing,1897,Sculpture,Genius of Mirth,American,,,,,16179,Artist, ,Thomas Crawford,"American, New York 1813?–1857 London", ,"Crawford, Thomas",American ,1813,1857,,http://vocab.getty.edu/page/ulan/500115277,https://www.wikidata.org/wiki/Q1863438,1842; carved 1843,1842,1843,Marble,47 x 20 x 24 in. (119.4 x 50.8 x 61 cm),"Bequest of Annette W. W. Hicks-Lord, 1896",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10574,https://www.wikidata.org/wiki/Q29382980,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Boys|Dancing,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300247598|http://vocab.getty.edu/page/aat/300389779,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q3010|https://www.wikidata.org/wiki/Q43393537
66.113,TRUE,TRUE,10586,760,The American Wing,1966,Painting,The Valley of Wyoming,American,,,,,16179,Artist, ,Jasper Francis Cropsey,"American, Rossville, New York 1823–1900 Hastings-on-Hudson, New York", ,"Cropsey, Jasper Francis",American,1823,1900,,http://vocab.getty.edu/page/ulan/500012491,https://www.wikidata.org/wiki/Q1451318,1865,1865,1865,Oil on canvas,48 1/2 x 84 in. (123.2 x 213.4 cm),"Gift of Mrs. John C. Newington, 1966",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10586,https://www.wikidata.org/wiki/Q19924777,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
10.82,FALSE,FALSE,10746,766,The American Wing,1910,Painting,The Letter,American,,,,,246,Artist, ,Thomas Wilmer Dewing,1851–1938, ,"Dewing, Thomas Wilmer",American,1851,1938,,http://vocab.getty.edu/page/ulan/500014554,https://www.wikidata.org/wiki/Q1378807,1895–1900,1895,1900,Oil on canvas,20 1/4 x 16 in. (51.4 x 40.6 cm),"Rogers Fund, 1910",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10746,https://www.wikidata.org/wiki/Q19930320,,"Metropolitan Museum of Art, New York, NY",Women|Interiors|Contemplation,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300391239|http://vocab.getty.edu/page/aat/300264547,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q2998430|https://www.wikidata.org/wiki/Q1123855
15.30.59,TRUE,TRUE,10786,759,The American Wing,1915,Painting,The Beeches,American,,,,,16185,Artist, ,Asher Brown Durand,"American, Jefferson, New Jersey 1796–1886 Maplewood, New Jersey", ,"Durand, Asher Brown",American,1796,1886,,http://vocab.getty.edu/page/ulan/500026080,https://www.wikidata.org/wiki/Q391608,1845,1845,1845,Oil on canvas,60 3/8 x 48 1/8 in. (153.4 x 122.2 cm),"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10786,https://www.wikidata.org/wiki/Q20170024,,"Metropolitan Museum of Art, New York, NY",Sheep|Landscapes|Trees|Shepherds,http://vocab.getty.edu/page/aat/300250284|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300025617,https://www.wikidata.org/wiki/Q7368|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q81710
23.139,TRUE,TRUE,10811,773,The American Wing,1923,Painting,The Artist's Wife and His Setter Dog,American,,,,,16185,Artist, ,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania", ,"Eakins, Thomas",American,1844,1916,,http://vocab.getty.edu/page/ulan/500115198,https://www.wikidata.org/wiki/Q214905,ca. 1884–89,1881,1889,Oil on canvas,30 x 23 in. (76.2 x 58.4 cm),"Fletcher Fund, 1923",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10811,https://www.wikidata.org/wiki/Q20171060,,"Metropolitan Museum of Art, New York, NY",Portraits|Women|Dogs,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300265714,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q144
81.14,TRUE,TRUE,10813,764,The American Wing,1881,Painting,The Chess Players,American,,,,,16185,Artist, ,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania", ,"Eakins, Thomas",American,1844,1916,,http://vocab.getty.edu/page/ulan/500115198,https://www.wikidata.org/wiki/Q214905,1876,1876,1876,Oil on wood,11 3/4 x 16 3/4 in. (29.8 x 42.6 cm),"Gift of the artist, 1881",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10813,https://www.wikidata.org/wiki/Q1196533,,"Metropolitan Museum of Art, New York, NY",Interiors|Men|Chess|Playing|Cats,http://vocab.getty.edu/page/aat/300391239|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300222748| |http://vocab.getty.edu/page/aat/300265960,https://www.wikidata.org/wiki/Q2998430|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q718|https://www.wikidata.org/wiki/Q1150958|https://www.wikidata.org/wiki/Q146
23.94,FALSE,TRUE,10815,,The American Wing,1923,Watercolor,The Gross Clinic,American,,,,,16185,Artist, ,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania", ,"Eakins, Thomas",American,1844,1916,,http://vocab.getty.edu/page/ulan/500115198,https://www.wikidata.org/wiki/Q214905,1875–76,1875,1875,India ink and watercolor on cardboard,23 3/4 x 19 1/4 in. (60.3 x 48.9 cm),"Rogers Fund, 1923",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10815,https://www.wikidata.org/wiki/Q104412986,,"Metropolitan Museum of Art, New York, NY",Medicine|Students|Men|Doctors,http://vocab.getty.edu/page/aat/300404880|http://vocab.getty.edu/page/aat/300025909|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025809,https://www.wikidata.org/wiki/Q55693872|https://www.wikidata.org/wiki/Q48282|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q39631
24.108,TRUE,TRUE,10818,,The American Wing,1924,Watercolor,John Biglin in a Single Scull,American,,,,,16185,Artist, ,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania", ,"Eakins, Thomas",American,1844,1916,,http://vocab.getty.edu/page/ulan/500115198,https://www.wikidata.org/wiki/Q214905,ca. 1873,1870,1873,Watercolor on off-white wove paper,19 5/16 x 24 7/8 in. (49.1 x 63.2 cm),"Fletcher Fund, 1924",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10818,https://www.wikidata.org/wiki/Q83560170,,"Metropolitan Museum of Art, New York, NY",Boats|Men|Rowing,http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300025928| ,https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q7371749
34.92,TRUE,TRUE,10819,764,The American Wing,1934,Painting,The Champion Single Sculls (Max Schmitt in a Single Scull),American,,,,,16185,Artist, ,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania", ,"Eakins, Thomas",American,1844,1916,,http://vocab.getty.edu/page/ulan/500115198,https://www.wikidata.org/wiki/Q214905,1871,1871,1871,Oil on canvas,32 1/4 x 46 1/4 in. (81.9 x 117.5 cm),"Purchase, The Alfred N. Punnett Endowment Fund and George D. Pratt Gift, 1934",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10819,https://www.wikidata.org/wiki/Q1913390,,"Metropolitan Museum of Art, New York, NY",Bridges|Men|Rowing|Rivers,http://vocab.getty.edu/page/aat/300386855|http://vocab.getty.edu/page/aat/300025928| |http://vocab.getty.edu/page/aat/300008707,https://www.wikidata.org/wiki/Q12280|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q7371749|https://www.wikidata.org/wiki/Q4022
25.97.1,TRUE,TRUE,10821,,The American Wing,1925,Watercolor,The Dancing Lesson,American,,,,,16185,Artist, ,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania", ,"Eakins, Thomas",American,1844,1916,,http://vocab.getty.edu/page/ulan/500115198,https://www.wikidata.org/wiki/Q214905,1878,1878,1878,Watercolor on off-white wove paper,18 1/16 x 22 9/16 in. (45.9 x 57.3 cm),"Fletcher Fund, 1925",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10821,https://www.wikidata.org/wiki/Q22274084,,"Metropolitan Museum of Art, New York, NY",Music|Musical Instruments|Boys|Men|Dancing,http://vocab.getty.edu/page/aat/300435214|http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300247598|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300389779,https://www.wikidata.org/wiki/Q638|https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q3010|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q43393537
1976.201.1,FALSE,TRUE,10822,773,The American Wing,1976,Watercolor,The Pathetic Song,American,,,,,16185,Artist, ,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania", ,"Eakins, Thomas",American,1844,1916,,http://vocab.getty.edu/page/ulan/500115198,https://www.wikidata.org/wiki/Q214905,1881,1881,1881,Watercolor on off-white wove paper,16 3/4 x 11 3/16 in. (42.5 x 28.4 cm),"Bequest of Joan Whitney Payson, 1975",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10822,https://www.wikidata.org/wiki/Q104412987,,"Metropolitan Museum of Art, New York, NY",Men|Women|Singing|Pianos,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300264372|http://vocab.getty.edu/page/aat/300042909,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q27939|https://www.wikidata.org/wiki/Q5994
17.172,TRUE,TRUE,10827,771,The American Wing,1917,Painting,The Thinker: Portrait of Louis N. Kenton,American,,,,,16185,Artist, ,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania", ,"Eakins, Thomas",American,1844,1916,,http://vocab.getty.edu/page/ulan/500115198,https://www.wikidata.org/wiki/Q214905,1900,1900,1900,Oil on canvas,82 x 42 in. (208.3 x 106.7 cm),"John Stewart Kennedy Fund, 1917",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10827,https://www.wikidata.org/wiki/Q7768767,,"Metropolitan Museum of Art, New York, NY",Contemplation|Men|Portraits,http://vocab.getty.edu/page/aat/300264547|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q1123855|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
1979.395,TRUE,TRUE,10830,755,The American Wing,1979,Painting,Elijah Boardman,American,,,,,16352,Artist, ,Ralph Earl,"American, Worcester County, Massachusetts 1751–1801 Bolton, Connecticut", ,"Earl, Ralph",American,1751,1801,,http://vocab.getty.edu/page/ulan/500116241,https://www.wikidata.org/wiki/Q1350959,1789,1789,1789,Oil on canvas,83 x 51 in. (210.8 x 129.5 cm),"Bequest of Susan W. Tyler, 1979",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10830,https://www.wikidata.org/wiki/Q20171076,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
26.12,TRUE,FALSE,10909,700,The American Wing,1926,Sculpture,The Angel of Death and the Sculptor from the Milmore Memorial,American,,,,,16190,Artist, ,Daniel Chester French,"American, Exeter, New Hampshire 1850–1931 Stockbridge, Massachusetts", ,"French, Daniel Chester",American,1850,1931,,http://vocab.getty.edu/page/ulan/500009434,https://www.wikidata.org/wiki/Q720910,"1889–93, carved 1921–26",1921,1926,Marble,93 1/2 x 100 1/2 x 32 1/2 in. (237.5 x 255.3 x 82.6 cm),"Gift of a group of Museum trustees, 1926",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10909,https://www.wikidata.org/wiki/Q29382982,,"Metropolitan Museum of Art, New York, NY",Angels|Men|Sphinx|Poppies|Death,http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300375739|http://vocab.getty.edu/page/aat/300375678|http://vocab.getty.edu/page/aat/300151836,https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q151480|https://www.wikidata.org/wiki/Q967457|https://www.wikidata.org/wiki/Q4
15.75,TRUE,FALSE,10912,700,The American Wing,1915,Sculpture,Mourning Victory from the Melvin Memorial,American,,,,,16190,Artist, ,Daniel Chester French,"American, Exeter, New Hampshire 1850–1931 Stockbridge, Massachusetts", ,"French, Daniel Chester",American,1850,1931,,http://vocab.getty.edu/page/ulan/500009434,https://www.wikidata.org/wiki/Q720910,"1906–8, carved 1912–15",1906,1915,Marble,120 1/2 x 57 1/4 x 28 3/4 in. (306.1 x 145.4 x 73 cm),"Gift of James C. Melvin, 1912",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10912,https://www.wikidata.org/wiki/Q29382985,,"Metropolitan Museum of Art, New York, NY",Funerary Monuments|Female Nudes,http://vocab.getty.edu/page/aat/300005909|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q6023295|https://www.wikidata.org/wiki/Q40446
