title,date_start,artist_display,place_of_origin,medium_display,credit_line,publication_history,exhibition_history,artwork_type_title,department_title,style_title,classification_title,museum,museum_location
The Adventures of Ulysses,1435,"Apollonio di Giovanni
Italian, 1415/17-1465",Italy,Tempera on panel,Mr. and Mrs. Martin A. Ryerson Collection,"Art Institute of Chicago, General Catalogue of Paintings, Sculpture, and Other Objects in the Museum (Chicago, 1913), p. 197, no. 2088.

Art Institute of Chicago, General Catalogue of Paintings, Sculpture, and Other Objects in the Museum (Chicago, 1914), p. 208, no. 2088.

Paul Schubring, Cassoni: Truhen und Truhenbilder der italienischen Frührenaissance (Leipzig, 1915), vol. 1. pp. 113, 276, no. 253, vol. 2, pl. 56, no. 253.

Art Institute of Chicago, Catalogue of Paintings, Drawings, Sculpture, and Architecture (Chicago, 1917), p. 164.

Art Institute of Chicago, Handbook of Sculpture, Architecture, Paintings, and Drawings (Chicago, 1920), p. 62.

Art Institute of Chicago, Handbook of Sculpture, Architecture and Paintings (Chicago, 1922), p. 71.

Art Institute of Chicago, Handbook of Sculpture, Architecture, and Paintings (Chicago, 1923), p. 71.

G. E. Kaltenbach, “Cassoni,” American Magazine of Art 14 (1923), p. 599, ill.

Frank Jewett Mather, A History of Italian Painting (New York, 1923), pp. 182-83.

Art Institute of Chicago, A Guide to the Paintings in the Permanent Collection (Chicago, 1925), p. 159, no. 2018.

Rose Mary Fischkin, Martin A. Ryerson Collection of Paintings and Sculpture, XIII to XVIII Century, Loaned to The Art Institute of Chicago, unpub. MS, 1926, Ryerson Library, The Art Institute of Chicago, pp. 16-17.

Raimond van Marle, The Development of the Italian Schools of Painting, vol. 10 (The Hague, 1928), p. 554.

Art Institute of Chicago, A Guide to the Paintings in the Permanent Collection (Chicago, 1932), p. 180, no. 282.11. 

Bernard Berenson, Italian Pictures of the Renaissance (Oxford, 1932), p. 346.

Bernard Berenson, Pitture italiane del Rinascimento (Milan, 1936), p. 283.

Bernard Berenson, Italian Pictures of the Renaissance: Florentine School (London, 1963), vol. 1, p. 18, vol. 2, figs. 736a-b.

William R. Valentiner, Paintings in the Collection of Martin A. Ryerson, unpub. MS [1932], Archives, The Art Institute of Chicago, n. pag.

Wolfgang Stechow, “Marco del Bouno and Apollonio di Giovanni, Cassone Painters,” Bulletin of the Allen Memorial Art Museum 1 (1944), p. 17.

“Meister der Dido-Truhe” in Ulrich Thieme and Felix Becker, Allgemeines Lexikon der bildenden Künstler von der Antike bis zur Gegenwart, vol. 37 (Leipzig, 1950), p. 79.

Art Institute of Chicago, Paintings in The Art Institute of Chicago: A Catalogue of the Picture Collection (Chicago, 1961), p. 299.

Hans Huth, “Italienische Kunstwerke im Art Institute von Chicago, USA,” in Miscellanea Bibliothecae Hertzianae (Munich, 1961), p. 516.

Barbara Wriston, “Joiners’ Tools in The Art Institute of Chicago,” Art Institute of Chicago Museum Studies 2 (1967), p. 77, detail ill.

Ellen Callmann, Apollonio di Giovanni (Oxford, 1974), pp. 16–19, 53, no. 3, pl. 29.

Burton B. Fredericksen and Federico Zeri, Census of Pre-Nineteenth-Century Italian Paintings in North American Public Collections (Cambridge, Massachusetts, 1972), pp. 12, 478, 571.

Ellen Callmann, “Apollonio di Giovanni and Painting for the Early Renaissance Room,” Antichità viva 27, 3-4 (1988), p. 11, fig. 20.

Christopher Lloyd, Italian Paintings before 1600 in the Art Institute of Chicago. A Catalogue of the Collection (Chicago, 1993), pp. 6-9, ill.
Sophie Desrosiers, “Trois répresentations d’un métier à la tire florentine du XVe siècle,” Bulletin du Centre International d’Étude des Textiles Anciens, no. 71 (1993), pp. 37–47, fig. 1 (detail).

Ellen Callmann, “Apollo di Giovanni (di Tomaso)” in Dictionary of Art, vol. 2 (London, 1996). p. 288, ill. (detail).

Graham Hughes, Renaissance Cassoni. Masterpieces of early Italian Art: Painted Marriage Chest 1400–1550 (Alfriston and London, 1997), p. 17, ill. (detail).

Luke Syson and Dora Thornton, Objects of Virtue. Art in Renaissance Italy (London, 2001), pp. 240, 243, figs. 191 and 193.

Jerzy Miziołek, “The ""Odyssey"" Cassone Panels from the Lanckoroński Collection: On the Origins of Depicting Homer's Epic in the Art of the Italian Renaissance,” Artibus et Historiae 27, no. 53 (2006), pp. 57–58, 61–66, 72, 75, figs. 8, 15a, 26a.

Jacqueline Marie Masucchio, Art, Marriage, and Family in the Florentine Renaissance Palace (New Haven and London, 2008), p. 182, fig. 185.

Caroline Campbell, Love and Marriage in Renaissance Florence: The Courtauld Wedding Chests, exh. cat., The Courtauld Gallery, London, 2009, pp. 24, 32, 33, 38, 43. fig. 7.

Jerzy Miziolek in in Virtù d'amore.  Pittura nuziale nel Quattrocento fiorentino, exh. cat., Galleria dell'Accademia and Museo Horne, Florence, 2010, p. 188, under no. 10 a and b.","London, Royal Academy of Arts, Works by the Old Masters, 1875, cat. 169, as “A Landscape, with Architecture and Figures. Painter Unknown.”

Brooklyn, Institute of Arts and Sciences Museum, European Art, 1450 – 1500, 1936, cat. 15, as Dido Master.",Painting,Painting and Sculpture of Europe,,tempera,Art Institute of Chicago,USA
Model for a Statue of Louis XV,1746,"Jean-Baptiste Lemoyne
French, 1704—1778",France,Terracotta,Kate S. Buckingham Endowment,"Charles Maumené and Louis d’Harcourt, ""Icongraphie des Rois de France,"" Archives de l’Art Francais 16 (Paris, 1932), p. 442, no. 423.

Rennes, Musée des Beaux-Arts, L'ouvre du mois. Lemoyne: Louis XV, project de statue pour l’Hôtel de Ville de Rennes (Rennes, 1981), p. 4, fig. 3.

Ian Wardropper, ""Adam to Clodion: Four French Terracotta Sculptures,"" Art Institute of Chicago Museum Studies 11, 1 (1984), pp. 29-33, 36-37, figs. 10, 11.

Paris, Musée du Louvre, Nouvelles acquisitions du départment des Sculptures, 1988-1991 (Paris, 1992), under no. 22, pp. 76-78,, fig. 22c.","Chicago, Art Institute of Chicago, ""Selected Works of 18th Century Art,"" 24 January - 28 March ,1976, cat. 131.

Chicago, Art Institute of Chicago, ""European Portraits, 1600-1900,"" 8 July - 11 September, 1978, cat. 39.",Sculpture,Painting and Sculpture of Europe,,statuette,Art Institute of Chicago,USA
This Little Pig Went to Market,1857,"Lilly Martin Spencer (American, born England, 1822–1902)",United States,Oil on canvas,Roger and J. Peter McCormick Endowment Fund; through prior gifts of the George F. Harding Collection and the Chicago Normal School Alumni,"<em>Cosmopolitan Art Journal</em> 3, no. 5 (Dec. 1859): 247.","New York, Cosmopolitan Art Association, Düsseldorf Gallery, Dec. 1859 [?]–Jan. 31, 1860, no. 1.",Painting,Arts of the Americas,19th century,,Art Institute of Chicago,USA
Joseph Gerrish,1770,"John Singleton Copley (American, 1738–1815)",United States,Oil on canvas,Gift of the Estate of Adela Barrett,,,Painting,Arts of the Americas,,painting,Art Institute of Chicago,USA
Thistles,1883,"John Singer Sargent (American, born Italy, 1856–1925)",England,Oil on canvas,Gift of Brooks McCormick,"Impressionism and Post–Impressionism in the Art Institute of Chicago, (Chicago: Art Institute of Chicago, 2000), 84.

Judith A. Barter et al., American Arts at The Art Institute of Chicago: From Colonial Times to World War I (Chicago: Art Institute of Chicago, 1998), 322–325, no. 170.

Judith A. Barter et al., The Age of American Impressionism: Masterpieces from the Art Institute of Chicago (Chicago: Art Institute of Chicago/Yale University Press, 2011), no. 35.","Art Institute of Chicago, John Singer Sargent and Chicago’s Gilded Age, July 1–Sept. 30, 2018, cat. 14, fig. 133.",Painting,Arts of the Americas,Impressionism,painting,Art Institute of Chicago,USA
Madame Paul Escudier (Louise Lefevre),1882,"John Singer Sargent (American, born Italy, 1856–1925)",United States,Oil on canvas,Bequest of Brooks McCormick,"Annual Report (Art Institute of Chicago, 2007–2008), 19.

Judith A. Barter et al., <em>The Age of American Impressionism: Masterpieces from the Art Institute of Chicago</em> (Chicago: Art Institute of Chicago/Yale University Press, 2011), no. 34.","Pittsburgh, Carnegie Institute, <em>Twenty-second Annual International Exhibition of Paintings</em>, Apr. 26–June 17, 1923, cat. 60, lent by Mme Paul Escudier.

Art Institute of Chicago, <em>John Singer Sargent and Chicago’s Gilded Age</em>, July 1–Sept. 30, 2018, cat. 13, fig. 66.",Painting,Arts of the Americas,Impressionism,oil on canvas,Art Institute of Chicago,USA
Merahi metua no Tehamana (Tehamana Has Many Parents or The Ancestors of Tehamana),1893,"Paul Gauguin
French, 1848-1903",France,Oil on jute canvas,Gift of Mr. and Mrs. Charles Deering McCormick,"Jean de Rotonchamp, Paul Gauguin 1848–1903 (Paris, 1906), p. 120, no. 33, p. 135, no. 32.

Charles Morice, Paul Gauguin (Paris, 1920), p. 148 (ill. opp.).

Robert Rey, Gauguin, Maîtres de l’art moderne (Paris, 1923), pl. 23.

Robert Rey, Gauguin, trans. F. C. de Sumichrast (London, 1924), pl. 28.

Gustave Kahn, “Paul Gauguin,” L’Art et les artistes 12, 60 (October 1925), p. 56 (ill.).

Jean de Rotonchamp, Paul Gauguin 1848–1903 (Paris, 1925), p. 137.

Arsène Alexandre, Paul Gauguin; Sa vie et le sens de son oeuvre (Paris, 1930), p. 219 (ill.).

Charles Kunstler, Gauguin, peintre maudit, Anciens et Modernes (Paris, 1934), p. 159.

R. G. Wilenski, French Painting (Boston, 1931), 2nd ed. 1936, p. 290.

S. Rocheblave, La Peinture française au XIXe siécle (Paris, 1936), pl. 90.

“‘Tehura,’ A New Gauguin for America,” Vogue 89 (February 15, 1937), pp. 54, (ill.) 55.

John Rewald, Gauguin (Paris, 1938), p. 21, pl. 152.

Antony de Witt, Paul Gauguin (Milan, 1945), pl. 23.

Hans Graber, Paul Gauguin: Nach eigenen und fremden Zeugnissen (Basel, 1946), p. 510, ill. 

Herbert Lee van Dovski, Paul Gauguin oder die Flucht vor der Zivilisation (Olten and Bern, 1948), p. 350, no. 300.

Maurice Malingue, Gauguin: Le Peintures et son oeuvre (Paris, 1948), fig. 202.

Georges Wildenstein, “L’Idéologie et l’estétique dans deux tableaux-clés de Gauguin,” Gazette des Beaux-Arts 47, per. 6 (January–April 1956), pp. 143, 162, fig. 9.

“Gauguin,” The Art Institute of Chicago Quarterly 53, 1 (February 1959), p. 4 (ill.).

Georges Wildenstein, Gauguin (Paris, 1964), no. 497 (ill.).

Paul Gauguin, Noa Noa (Paris, 1966), p. 34 (ill.).

Bengt Danielsson, “Gauguin’s Tahitian Titles,” Burlington Magazine 9, 760 (April 1967), p. 231.

The Art Institute of Chicago, Annual Report 1969–1970 (Chicago, 1970), p. 6.

G. M. Sugana, L’opera completa di Gauguin (Milan, 1972), no 322 (ill.).

Herbert Lee van Dovski, Die Wahreit über Gauguin, mit Vielen, zum Teil farbigen Abbildungen und einem ‘Katalog der Gemälde’ (Darmstadt, 1973), no. 300, (ill.) 175.

James N. Wood and Katherine C. Lee, Master Paintings in The Art Institute of Chicago (Chicago, 1988), p. 71 (ill.).

Frances S. Connelly, “Primitivism of Philipp Otto Runge,” Art Journal 32, 2 (1993), p. 38, fig. 7.

Douglas Druick and Peter Zegers, Paul Gauguin: Pages From the Pacific (Chicago and Auckland, 1995), p. 23, fig. 43.

Peggy Vance, Gauguin (London, 1991), pp. 120-1 (ill.), 144.

June Hargrove, “Woman with a Fan: Paul Gauguin’s Heavenly Vairaumati–A Parable of Immortality,” The Art Bulletin 88, 3 (September 2006), p. 557, fig. 3.

The Age of Impressionism at the Art Institute of Chicago (New Haven and London, 2008), cat. 70, pp. 146–47 (ill.).

Suzanne Greub, Gauguin Polynesia, Exh. cat (Seattle Art Museum, 2012), p. 221, p. 352-353. fig. 205. 

Timothy O. Benson, Expressionism in Germany and France: From Van Gogh to Kandinsky, exh. cat. (Los Angeles: Los Angeles County Museum of Art/DelMonico Books;Prestel, 2014), 169 ill.

Marco Goldin, ed., Storie dell'Impressionismo: I grandi protagonist da Monet a Renoir da Van Gogh a Gauguin (Linea d’ombre, 2016), 173 (color ill), 224-25 (detail ill.), 248-49 (color ill.), 400-01 cat. 22.

“Gauguin, Cat. 50, Merahi metua no Tehamana (Tehamana Has Many Parents or The Ancestors of Tehamana) (1980.613),” in Gauguin Paintings, Sculpture, and Graphic Works at the Art Institute of Chicago, ed. Gloria Groom and Genevieve Westerby (Art Institute of Chicago, 2016), <a href=""https://publications.artic.edu/gauguin/reader/gauguinart/section/140163"">https://publications.artic.edu/gauguin/reader/gauguinart/section/140163</a>. 

Gloria Groom, ed. Gauguin: Artist as Alchemist, exh. cat. (Art Institute of Chicago/ Yale University Press, 2017), 16, 58, 70n9, 235, 238, 242-243, 252, 286, 331, cat. 183.

Claire Bernardi and Ophélie Ferlier-Bouat, Guaguin: L’alchimiste, exh. cat. (Paris: Musée d’Osay/ Réunion des muséea nationaux-Grand Palais/ Graphicom, 2017), 192-193 , 305, cat. 196.

Cornelia Homburg, et. al., Gauguin Portraits, exh. cat. (Ottawa: National Gallery of Canada; London: National Gallery, 2019), 148-53, 256.

Adriano Pedrosa, Fernando Oliva and Laura Cosendey, eds., Paul Gauguin: The Other and I, exh. cat. (São Paulo: Museu de Arte de São Paulo, 2023), 69, 70 fig. 39, 71.","Paris, Galeries Durand-Ruel, Exposition Paul Gauguin, November 1893, cat. 33.

Béziers, Société des Beaux-Arts, 1901, cat. 53.

Paris, Galerie L. Dru, Exposition retrospective de P. Gauguin (1848–1903); peintures, bois, céramiques, gravures, dessins, April 16–May 11, 1923, cat. 22.

Paris, Le Portique, Gauguin, 1931, cat. 1.

Chicago, Quest Art Galleries, French Nineteenth Century Paintings, May 3–15, 1937, cat. 11 (ill.)

New York, Jacques Seligmann Galleries, February 1937.

New York, Wildenstein and Co., Inc., Great Portraits from Impressionism to Modernism, March 1–29, 1938, cat. 14.

The Art Institute of Chicago, Great French Paintings: An Exhibition in Memory of Chauncey McCormick, January 20–February 20, 1955, cat. 19 (ill.).

The Art Institute of Chicago, Gauguin, Paintings, Drawings, Prints, Sculpture, February 12–March 29, 1959, cat. 51 (ill.); traveled to New York, Metropolitan Museum of Art, April 21–May 31, 1959.

Albi, France, Musée Toulouse-Lauctrec, Trésors impressionnistes du Musée de Chicago, June 27–August 31, 1980, cat. 31 (ill.). 

New York, Museum of Modern Art, Primitivism in 20th Century Art, September 5, 1984-January 15, 1985, no cat. no. (ill.).

Washington, D. C., National Gallery of Art, The Art of Paul Gauguin, May 1–July 31, 1988, cat. 158 (ill.); Art Institute of Chicago, September 17–December 11, 1988; and Paris, Grand Palais, January 10–April 24, 1989.

Moscow, The Pushkin Museum, Gauguin in Russia, May-June, 1989, cat. 30 (ill.); Leningrad [St. Petersburg], The Hermitage, July-October 1989.

Staatsgalerie Stuttgart, Paul Gauguin-Tahiti, February 7-June 1, 1998, cat. 44 (ill.).

The Art Institute of Chicago, Van Gogh and Gauguin: The Studio of the South, September 22, 2001-January 13, 2002, cat. 141 (ill.), traveled to The Van Gogh Museum, Amsterdam, February 9-June 6, 2002.

Paris, Galeries Nationales du Grand Palais, Gauguin: Tahiti, September 30, 2003-January 19, 2004, cat. 99 (ill.), traveled to Boston, Museum of Fine Arts, February 29, 2004-June 20, 2004.

Fort Worth, Tex., Kimbell Museum of Art, The Impressionists: Master Paintings from the Art Institute of Chicago, June 29–November 2, 2008, cat. 70 (ill.).

London, Tate Modern, Paul Gauguin: Maker of Myth, September 30, 2010-January 16, 2011; Washington, DC, National Gallery of Art, February 21-May 30, 2011.

Copenhagen, NY Carlsberg Glyptotek, Gauguin Polynesia, September 24- December 31, 2011. fig. 205; Seattle Art Museum, February 9- April 29, 2012.

Treviso, Museo di Santa Caterina, Storie dell'Impressionismo, October 29, 2016-April 17, 2017, cat. 22.

Chicago, The Art Institute of Chicago, Gauguin: Artist as Alchemist, June 25-Sept. 10. 2017; Paris, Musée d’Orsay, Oct. 9, 2017-Jan. 1, 2018.

Ottawa, National Gallery of Canada, Gauguin Portraits, May 24 - September 8 2019, cat. 85; London, The National Gallery, October 9 2019 - January 26 - 2020.",Painting,Painting and Sculpture of Europe,Post-Impressionism,oil on canvas,Art Institute of Chicago,USA
Madawaska—Acadian Light-Heavy,1940,"Marsden Hartley (American, 1877–1943)",United States,Oil on hardboard,Bequest of A. James Speyer,"Judith A. Barter et al., <em>American Modernism at the Art Institute of Chicago, From World War I to 1955</em>, (Chicago: Art Institute of Chicago/Yale University Press, 2009), cat. 116.","Whitney Museum of American Art, <em>Marsden Hartley</em>, Mar. 4–May 25, 180; The Art Institute, June 10–Aug. 3, 1980; Fort Worth, Amon Carter Museum of Western Art, Sept. 5–Oct. 26, 1980; Berkeley, University Art Museum, University of California, Nov. 12, 1980–Jan. 4, 1981, cat. 89.

New York, Salander O'Reilly Galleries, <em>Marsden Hartley: The Late Figure Works</em>, May 30–June 30, 1990.

Turin, Italy, Lingotto, <em>Arte Americana</em>, Jan.–Mar. 1992.

Hartford, Wadsworth Atheneum, <em>Marsden Hartley: American Modernist</em>, Jan. 18–Apr. 20, 2003; Washington, DC, Phillips Collection, June 7–Sept. 7, 2003; Kansas City, Nelson–Atkins Museum of Art, Oct. 11, 2003–Jan. 11, 2004.

Paris, Musee d'Orsay, <em>Masculine/Masculine: The Naked Man in Art from 1800 to the Present Day</em>, Sept. 23, 2013–Jan. 2, 2014.

Metropolitan Museum of Art, <em>Marsden Hartley's Maine</em>, Mar. 15–June 18, 2017; Waterville, Maine, Colby College Museum of Art, July 8–Nov. 12, 2017, cat. 13.

Humlebæk, Denmark, Louisiana Museum of Modern Art, <em>Marsden Hartley: The Earth is All I Know of Wonder</em>, Sept. 19, 2019–Jan. 19, 2020, cat. 91 (ill.)",Painting,Arts of the Americas,Modernism,painting,Art Institute of Chicago,USA
"Landscape No. 3, Cash Entry Mines, New Mexico",1920,"Marsden Hartley (American, 1877–1943)",United States,Oil on canvas,Alfred Stieglitz Collection,"Ernst W. Watson, “Two Painters, A Study in Contrasts,” American Artist 9 (May 1945),,12–18 (ill.).

Paintings in the Art Institute of Chicago (Art Institute of Chicago, 1961), 212.

Gail R. Scott, Marsden Hartley (Abbeville Press, 1988).

Jeanne Hokin, Pinnacles and PyraMich.ds (University of New Mexico, 1993), 43–45, pl. 10.

Arnold Skolnick, ed., Paintings of the Southwest, (Clarkson Potter Publishers, 1994), 62 (ill.).

Colleen Carroll, “How Artists See the Elements” (Abbeville Press, date unknown).

Judith A. Barter et al., <em>American Modernism at the Art Institute of Chicago, From World War I to 1955</em>, (Chicago: Art Institute of Chicago/Yale University Press, 2009), cat. 22.","New York City, Museum of Modern Art, “Lyonel Feninger, Marsden Hartley,” 1944, p. 70 (ill.).

New York City, Museum of Modern Art, “Alfred Stiegliz: His Collection,” June 10– Aug. 31, 1947, no cat.

New York City, Whitney Museum of Art, “Marsden Hartley,” Mar. 4–May 25, 1980, pl. 88; Art Institute of Chicago, June 10–Aug. 3, 1980, Fort Worth, Amon Carter Museum of Western Art, Sept. 5–Oct. 26, 1980, Berkeley, University of California Art Museum, Nov. 12, 1980–Jan. 4, 1981.

Santa Fe, Georgia O'Keeffe Museum, The Search for an American Modernism: Marsden Hartley and New Mexico, Jan. 25–May 11, 2008.

Brooklyn Museum of Art, Youth and Beauty: Art of the American Twenties, Oct. 28, 2011–Jan. 22, 2012; Dallas Museum of Art, Feb. 24–May 27, 2012; Cleveland Museum of Art, July 1–Sept. 16, 2012.",Painting,Arts of the Americas,Modernism,painting,Art Institute of Chicago,USA
The Last of New England—The Beginning of New Mexico,1918,"Marsden Hartley (American, 1877–1943)",United States,Oil on cardboard,Alfred Stieglitz Collection,"Paintings in the Art Institute of Chicago (Chicago: Art Institute of Chicago, 1961), 211.

Judith A. Barter et al., <em>American Modernism at the Art Institute of CHicago, From World War I to 1955</em>, (Chicago: Art Institute of Chicago/Yale University Press, 2009), cat. 21.","Shanghai Museum, Pathways to Modernism: American Art, 1865–1945, Sept. 28, 2018–Jan. 6, 2019, cat. 10.

Humlebæk, Denmark, Louisiana Museum of Modern Art, Marsden Hartley: The Earth is All I Know of Wonder, Sept. 19, 2019–Jan. 19, 2020, cat. 41 (ill.)",Painting,Arts of the Americas,Modernism,oil on panel,Art Institute of Chicago,USA
Provincetown,1916,"Marsden Hartley (American, 1877–1943)",United States,Oil on composition board,Alfred Stieglitz Collection,"Paintings in the Art Institute of Chicago: a Catalogue of the Picture Collection (Chicago: Art Institute of Chicago, 1961).","Philadelphia Museum of Art, History of an American: Alfred Stieglitz, 291 and After, 1944, cat. 245.

University of Southern California, Marsden Hartley: Painter/Poet, Nov. 20–Dec. 20, 1968; Tucson Art Center, Jan. 10–Feb. 16, 1969; Austin, University of Texas Art Museum, Mar. 10–Apr. 27, 1969, cat. 55.

Whitney Museum of American Art, Marsden Hartley, Mar. 4–May 25, 1980, cat, 38; Art Institute of Chicago, June 14–Aug. 13, 1980; Amon Carter Museum of Western Art, Sept. 5–Oct. 26, 1980; University Art Museum, Berkeley, Nov. 12, 1980–Jan. 4, 1981.

Museum of Modern Art, Inventing Abstraction, 1912–1925, Dec. 23, 2012–Apr. 15, 2013.

Shanghai Museum, Pathways to Modernism: American Art, 1865–1945, Sept. 28, 2018–Jan. 6, 2019, cat. 48.",Painting,Arts of the Americas,Modernism,oil on panel,Art Institute of Chicago,USA
Movements,1913,"Marsden Hartley (American, 1877–1943)",United States,Oil on canvas,Alfred Stieglitz Collection,"“An American Collection,” The Philadelphia Museum Bulletin, 40, 206 (May 1945), 66–80 (ill.).

Milton W. Brown, American Painting from the Armory Show to the Depression (Princeton University Press, 1955), 146 (ill.).

Instituto de Arte de Chicago (Madrid, El Mundo de los Museos, 1967), 82 (ill.). 

Paintings in The Art Institute of Chicago (Art Institute of Chicago, 1961), 211.

Daniel C. Rich, “The Stieglitz Collection,” Bulletin of The Art Institute of Chicago (1961), 211.

Richard Whelan, “Marsden Hartley, A ‘Sense of Truth and a Real Naivete of Spirit,” Artnews 79 (Summer 1980), 118–20 (ill.).

The Art Institute of Chicago: Twentieth–Century Painting and Sculpture, selected by James N. Wood and Teri J. Edelstein (Art Institute of Chicago, 1996),36 (ill.).

Judith A. Barter et al., <em>American Modernism at the Art Institute of Chicago, From World War I to 1955</em>, (Chicago: Art Institute of Chicago/Yale University Press, 2009), cat. 8.

Paintings at the Art Institute of Chicago: Highlights of the Collection, (Chicago: Art Institute of Chicago/Yale University Press, 2017) p. 98.","New York City, Anderson Galleries, The Forum Exhibition of Modern American Painters, Mar. 13–25, 1916.

Philadelphia Museum of Art, History of an American, Alfred Stieglitz: ‘291’ and After, Summer 1944, cat. 244.

New York City, Museum of Modern Art, Alfred Stieglitz: His Collection, June 10–Aug. 31, 1947, cat. 36.

Art Institute of Chicago, Alfred Stieglitz: His Photographs and His Collection, Art Institute of Chicago, Feb. 7–Mar. 1948.

New York City, Whitney Museum of American Art, Marsden Hartley, Mar. 4–May 1980, cat. 17; Art Institute of Chicago, June 10–Aug. 3, 1980, Fort Worth, Amon Carter Museum of Western Art, Sept. 5–Oct. 26, 1980, University Art Museum, University of California, Berkeley, Nov. 12, 1980–Jan. 4, 1981.

Paris, Musee d'Orsay, Alfred Stieglitz and His Circle: Modernity in New York (1905 – 1930), Oct. 18, 2004–Jan. 16, 2005; Madrid, Museo Nacional Centro d'Arte reina Sofia, Feb. 10–May 17, 2005 (Paris only).",Painting,Arts of the Americas,Modernism,oil on canvas,Art Institute of Chicago,USA
